sample_id,task,mode,draft,k,regime,seed,latency_s,ttft_ms,tpot_ms,num_tokens,tokens_per_sec,total_proposed,total_accepted,n_verify_steps,k_max,k_final,adaptive_k,alpha,B_eff,stopped_eos,output_text,draft_elapsed_s,verify_elapsed_s
quick_en_001,quick_en,speculative,3B_dual_quick,4,deterministic,42,5.0827,27.22,163.08,32,6.3,38,13,19,4,1,True,0.3421,0.68,False," The sky appears blue because the Earth's atmosphere scatters sunlight in all directions and blue light is scattered more than other colors because it travels as shorter, smaller waves",3.591777,0.38688
quick_en_002,quick_en,speculative,3B_dual_quick,4,deterministic,42,3.9922,44.01,127.36,32,8.02,37,20,12,4,1,True,0.5405,1.67,False," Improving sleep quality is crucial for overall health and well-being. Here are three practical tips to help you achieve better sleep:

1. Establish a Consistent Sleep",2.948875,0.261679
quick_en_003,quick_en,speculative,3B_dual_quick,4,deterministic,42,4.024,27.39,128.92,32,7.95,38,17,15,4,2,True,0.4474,1.13,False," Machine learning is like teaching a computer to learn on its own, without being explicitly programmed. It's about giving the computer a bunch of data and letting it figure",2.876465,0.335146
quick_en_004,quick_en,speculative,3B_dual_quick,4,deterministic,42,4.7119,45.51,150.53,32,6.79,34,18,14,4,1,True,0.5294,1.29,False," Python and C++ are two of the most popular programming languages used in software development. While both languages are powerful and versatile, they have different strengths and weaknesses.

",2.553374,0.317154
quick_en_005,quick_en,speculative,3B_dual_quick,4,deterministic,42,4.0699,127.77,127.17,32,7.86,32,15,17,4,3,True,0.4688,0.88,False," 1. Greek Yogurt Parfait: Layer Greek yogurt with fresh berries and a sprinkle of granola for a protein-packed, fiber-rich breakfast.
2.",2.270149,0.373143
quick_en_006,quick_en,speculative,3B_dual_quick,4,deterministic,42,3.9461,26.39,126.44,32,8.11,38,18,15,4,4,True,0.4737,1.2,False," Sure! Let's imagine photosynthesis is like a magical recipe that plants use to make their food and grow. Here’s how it works:

1. **Ingredients",2.800886,0.320205
quick_en_007,quick_en,speculative,3B_dual_quick,4,deterministic,42,3.9471,60.26,125.38,32,8.11,35,15,17,4,3,True,0.4286,0.88,False," 1. Research the company and the position: Understand the company's mission, values, and culture. Familiarize yourself with the job description and the qualifications",2.446436,0.372335
quick_en_008,quick_en,speculative,3B_dual_quick,4,deterministic,42,5.11,50.58,163.21,32,6.26,36,15,18,4,2,True,0.4167,0.83,False," Weather refers to the short-term atmospheric conditions in a specific location, such as temperature, humidity, wind speed, and precipitation. It can change rapidly and is influenced",2.479766,0.346597
quick_en_009,quick_en,speculative,3B_dual_quick,4,deterministic,42,3.636,26.53,116.43,32,8.8,36,19,14,4,3,True,0.5278,1.36,False," Data privacy is crucial because it ensures that individuals' personal information is protected from unauthorized access, use, and disclosure. It helps to prevent identity theft, fraud,",2.63403,0.289439
quick_en_010,quick_en,speculative,3B_dual_quick,4,deterministic,42,4.0591,40.9,129.62,32,7.88,37,16,16,4,1,True,0.4324,1.0,False," Day 1: Warm-up (5-10 minutes), 3 sets of 10-12 reps of squats, push-ups, and",2.665439,0.322589
