sample_id,baseline_latency_s,spec_latency_s,speedup_baseline_over_spec,baseline_tokens_per_sec,spec_tokens_per_sec,alpha,B_eff,draft_elapsed_s,verify_elapsed_s
quick_en_001,0.9109,5.0827,0.17921577114525744,35.13,6.3,0.3421,0.68,3.591777,0.38688
quick_en_002,0.7206,3.9922,0.18050197885877461,44.41,8.02,0.5405,1.67,2.948875,0.261679
quick_en_003,0.7174,4.024,0.1782803180914513,44.61,7.95,0.4474,1.13,2.876465,0.335146
quick_en_004,0.7203,4.7119,0.152868269700121,44.43,6.79,0.5294,1.29,2.553374,0.317154
quick_en_005,0.7179,4.0699,0.17639254035725696,44.57,7.86,0.4688,0.88,2.270149,0.373143
quick_en_006,0.7146,3.9461,0.18109019031448773,44.78,8.11,0.4737,1.2,2.800886,0.320205
quick_en_007,0.7167,3.9471,0.18157634719160903,44.65,8.11,0.4286,0.88,2.446436,0.372335
quick_en_008,0.7155,5.11,0.14001956947162425,44.73,6.26,0.4167,0.83,2.479766,0.346597
quick_en_009,0.7167,3.636,0.1971122112211221,44.65,8.8,0.5278,1.36,2.63403,0.289439
quick_en_010,0.7158,4.0591,0.17634450986671923,44.7,7.88,0.4324,1.0,2.665439,0.322589
