sample_id,baseline_latency_s,spec_latency_s,speedup_baseline_over_spec,alpha,B_eff,draft_elapsed_s,verify_elapsed_s
fast_en_001,0.6602,2.1468,0.30752748276504566,0.6923,1.12,1.13703,0.155266
fast_en_002,0.3643,2.4522,0.14856047630698965,0.5,0.78,1.106645,0.170666
fast_en_003,0.3651,2.8637,0.12749240493068406,0.3333,0.45,1.061743,0.205891
fast_en_004,0.3648,2.8759,0.12684724781807435,0.3333,0.45,1.060184,0.208976
fast_en_005,0.3646,2.1901,0.16647641660198162,0.6154,1.0,1.082115,0.153105
fast_en_006,0.3658,2.3297,0.1570159247971842,0.5385,0.78,0.942087,0.170563
fast_en_007,0.362,2.1879,0.16545545957310662,0.8333,1.43,1.03143,0.133407
fast_en_008,0.3624,2.1566,0.1680422887879069,0.6923,1.12,1.109532,0.153149
fast_en_009,0.3602,2.6798,0.1344130158967087,0.5,0.78,1.160284,0.172079
fast_en_010,0.3585,3.28,0.10929878048780488,0.1765,0.21,0.988723,0.263001
