config,draft,k,regime,T_mean_s,T_median_s,R_tok_mean,TTFT_mean_ms,TPOT_mean_ms,total_tokens,n_samples,alpha,B_eff,total_proposed,total_accepted,n_verify_steps,S,gsm8k,mmlu,cnndm,delta_gsm8k,delta_mmlu,delta_cnndm
0.5B_k4_deterministic,0.5B,4,deterministic,10.1718,7.2073,12.37,182.72,81.64,124800,1000,0.4168,1.65,187148,78012,47385,1.6565,65.33,57.6,21.45,-1.67,0.6,-0.09
0.5B_k4_stochastic,0.5B,4,stochastic,10.4807,8.2352,12.0,183.69,84.17,124800,1000,0.4058,1.6,190242,77204,48191,1.5706,67.67,57.4,20.83,5.34,0.6,-0.11
0.5B_k8_deterministic,0.5B,8,deterministic,9.8365,6.9255,12.94,184.18,81.91,124800,1000,0.3412,2.64,266810,91035,34471,1.713,66.33,57.2,21.11,-0.67,0.2,-0.43
0.5B_k8_stochastic,0.5B,8,stochastic,10.2061,7.9134,12.25,188.42,86.43,124800,1000,0.338,2.62,268656,90812,34662,1.6128,64.33,57.0,20.21,2.0,0.2,-0.73
0.5B_k16_deterministic,0.5B,16,deterministic,11.5183,7.709,11.74,185.77,97.14,124800,1000,0.241,3.57,407028,98103,27442,1.4629,65.0,58.4,21.35,-2.0,1.4,-0.19
0.5B_k16_stochastic,0.5B,16,stochastic,11.7085,9.329,11.51,186.12,99.2,124800,1000,0.2355,3.5,414701,97650,27916,1.4059,65.33,56.8,20.44,3.0,0.0,-0.5
1.5B_k4_deterministic,1.5B,4,deterministic,10.2099,7.7262,12.19,183.42,82.89,124800,1000,0.4555,1.8,177010,80620,44796,1.6504,66.67,56.8,21.37,-0.33,-0.2,-0.17
1.5B_k4_stochastic,1.5B,4,stochastic,10.4106,7.9317,12.1,182.28,83.43,124800,1000,0.4401,1.74,180888,79616,45774,1.5812,65.0,57.0,20.89,2.67,0.2,-0.05
1.5B_k8_deterministic,1.5B,8,deterministic,9.7462,7.4352,12.8,182.12,82.67,124800,1000,0.3829,2.96,245132,93854,31671,1.7289,66.0,57.6,21.17,-1.0,0.6,-0.37
1.5B_k8_stochastic,1.5B,8,stochastic,10.1516,8.1059,12.27,184.21,86.0,124800,1000,0.3709,2.87,251071,93122,32410,1.6215,68.67,57.8,20.84,6.34,1.0,-0.1
1.5B_k16_deterministic,1.5B,16,deterministic,11.2572,8.4504,11.6,186.14,97.54,124800,1000,0.2821,4.19,359335,101363,24207,1.4968,69.67,56.8,21.43,2.67,-0.2,-0.11
1.5B_k16_stochastic,1.5B,16,stochastic,11.4058,9.34,11.55,185.99,97.83,124800,1000,0.2781,4.13,363575,101094,24492,1.4432,66.33,55.8,20.44,4.0,-1.0,-0.5
