task,sample_id,repeat,max_new_tokens,bucket,latency_s,draft_elapsed_s,verify_elapsed_s,ttft_ms,num_tokens
gsm8k,gsm8k_2,0,16,short,0.6883,0.565459,0.121579,393.06,16
gsm8k,gsm8k_2,0,64,medium,2.3332,1.947358,0.380905,158.57,64
gsm8k,gsm8k_2,0,160,long,4.9357,4.098185,0.8269,145.18,160
gsm8k,gsm8k_11,0,16,short,0.2686,0.217931,0.050394,145.87,16
gsm8k,gsm8k_11,0,64,medium,1.1607,0.954144,0.204667,144.47,64
gsm8k,gsm8k_11,0,160,long,3.4482,2.854626,0.587626,145.05,160
gsm8k,gsm8k_15,0,16,short,0.5228,0.405831,0.115695,146.41,16
gsm8k,gsm8k_15,0,64,medium,3.2203,2.679197,0.533861,144.58,64
gsm8k,gsm8k_15,0,160,long,5.6813,4.733655,0.935765,144.19,160
gsm8k,gsm8k_21,0,16,short,0.5484,0.433446,0.113655,144.44,16
gsm8k,gsm8k_21,0,64,medium,1.8412,1.525316,0.311921,144.07,64
gsm8k,gsm8k_21,0,160,long,5.4235,4.488276,0.922693,144.17,160
gsm8k,gsm8k_22,0,16,short,0.2675,0.217392,0.049907,144.83,16
gsm8k,gsm8k_22,0,64,medium,1.5916,1.313912,0.274648,144.13,64
gsm8k,gsm8k_22,0,160,long,4.3212,3.599947,0.712858,145.1,160
gsm8k,gsm8k_32,0,16,short,0.3608,0.289186,0.070783,144.82,16
gsm8k,gsm8k_32,0,64,medium,1.8259,1.510751,0.311071,144.5,64
gsm8k,gsm8k_32,0,160,long,4.6052,3.838214,0.756572,144.45,160
mmlu,mmlu_abstract_algebra_0,0,16,short,0.506,0.389365,0.115038,144.3,16
mmlu,mmlu_abstract_algebra_0,0,64,medium,2.1717,1.786534,0.380271,143.87,64
mmlu,mmlu_abstract_algebra_0,0,160,long,5.1979,4.323548,0.863456,144.73,160
mmlu,mmlu_abstract_algebra_1,0,16,short,0.5507,0.433873,0.115348,144.75,16
mmlu,mmlu_abstract_algebra_1,0,64,medium,1.7604,1.439726,0.316733,143.75,64
mmlu,mmlu_abstract_algebra_1,0,160,long,4.2533,3.553704,0.691218,145.03,160
mmlu,mmlu_abstract_algebra_2,0,16,short,0.5604,0.462801,0.096379,145.9,16
mmlu,mmlu_abstract_algebra_2,0,64,medium,2.0012,1.638501,0.358425,143.91,64
mmlu,mmlu_abstract_algebra_2,0,160,long,5.1866,4.327007,0.84881,144.65,160
mmlu,mmlu_abstract_algebra_3,0,16,short,0.419,0.347149,0.071043,144.96,16
mmlu,mmlu_abstract_algebra_3,0,64,medium,1.8294,1.511408,0.314013,144.71,64
mmlu,mmlu_abstract_algebra_3,0,160,long,4.9057,4.071412,0.823521,143.82,160
mmlu,mmlu_abstract_algebra_4,0,16,short,0.4207,0.348443,0.071437,144.45,16
mmlu,mmlu_abstract_algebra_4,0,64,medium,2.4641,2.074218,0.38518,144.74,64
mmlu,mmlu_abstract_algebra_4,0,160,long,7.2788,6.090332,1.172061,144.18,160
mmlu,mmlu_abstract_algebra_5,0,16,short,0.4991,0.406148,0.091806,143.79,16
mmlu,mmlu_abstract_algebra_5,0,64,medium,2.0274,1.684184,0.339047,143.66,64
mmlu,mmlu_abstract_algebra_5,0,160,long,5.239,4.378207,0.849825,144.95,160
cnndm,cnndm_3,0,16,short,0.6133,0.475701,0.136023,145.76,16
cnndm,cnndm_3,0,64,medium,2.0613,1.699266,0.357128,144.5,64
cnndm,cnndm_3,0,160,long,6.3533,5.275013,1.063153,147.55,160
cnndm,cnndm_31,0,16,short,1.5178,0.929147,0.585598,618.58,16
cnndm,cnndm_31,0,64,medium,3.5818,2.827421,0.746288,391.19,64
cnndm,cnndm_31,0,160,long,8.3484,6.803412,1.525352,380.95,160
cnndm,cnndm_70,0,16,short,0.5587,0.462585,0.094801,146.04,16
cnndm,cnndm_70,0,64,medium,3.1157,2.598683,0.509858,145.58,64
cnndm,cnndm_70,0,160,long,6.4908,5.414206,1.061992,149.01,160
cnndm,cnndm_165,0,16,short,0.7192,0.544915,0.172677,198.93,16
cnndm,cnndm_165,0,64,medium,2.2865,1.845825,0.43529,197.36,64
cnndm,cnndm_165,0,160,long,6.0438,4.977089,1.052391,197.75,160
cnndm,cnndm_297,0,16,short,0.4198,0.332385,0.086728,160.46,16
cnndm,cnndm_297,0,64,medium,2.4013,1.979729,0.415894,159.97,64
cnndm,cnndm_297,0,160,long,5.8527,4.852747,0.98667,160.79,160
cnndm,cnndm_339,0,16,short,0.3065,0.231492,0.07459,169.16,16
cnndm,cnndm_339,0,64,medium,2.2675,1.866135,0.396431,163.94,64
cnndm,cnndm_339,0,160,long,6.0201,5.019272,0.987587,166.48,160
