config,draft,k,regime,S,alpha,B_eff,T_mean_s,R_tok_mean,TTFT_mean_ms,TPOT_mean_ms,gsm8k,mmlu,cnndm
0.5B_k4_deterministic,0.5B,4,deterministic,1.6565,0.4168,1.65,10.1718,12.37,182.72,81.64,65.33,57.6,21.45
0.5B_k4_stochastic,0.5B,4,stochastic,1.5706,0.4058,1.6,10.4807,12.0,183.69,84.17,67.67,57.4,20.83
0.5B_k8_deterministic,0.5B,8,deterministic,1.713,0.3412,2.64,9.8365,12.94,184.18,81.91,66.33,57.2,21.11
0.5B_k8_stochastic,0.5B,8,stochastic,1.6128,0.338,2.62,10.2061,12.25,188.42,86.43,64.33,57.0,20.21
0.5B_k16_deterministic,0.5B,16,deterministic,1.4629,0.241,3.57,11.5183,11.74,185.77,97.14,65.0,58.4,21.35
0.5B_k16_stochastic,0.5B,16,stochastic,1.4059,0.2355,3.5,11.7085,11.51,186.12,99.2,65.33,56.8,20.44
1.5B_k4_deterministic,1.5B,4,deterministic,1.6504,0.4555,1.8,10.2099,12.19,183.42,82.89,66.67,56.8,21.37
1.5B_k4_stochastic,1.5B,4,stochastic,1.5812,0.4401,1.74,10.4106,12.1,182.28,83.43,65.0,57.0,20.89
1.5B_k8_deterministic,1.5B,8,deterministic,1.7289,0.3829,2.96,9.7462,12.8,182.12,82.67,66.0,57.6,21.17
1.5B_k8_stochastic,1.5B,8,stochastic,1.6215,0.3709,2.87,10.1516,12.27,184.21,86.0,68.67,57.8,20.84
1.5B_k16_deterministic,1.5B,16,deterministic,1.4968,0.2821,4.19,11.2572,11.6,186.14,97.54,69.67,56.8,21.43
1.5B_k16_stochastic,1.5B,16,stochastic,1.4432,0.2781,4.13,11.4058,11.55,185.99,97.83,66.33,55.8,20.44
